大阪大学コントラクトブリッジ部,001
阪大和漢薬研究会,002
大阪大学トイレ研究会,004
再履バス同好会,005
阪大インキャオタクブラスバンド,006
大阪大学非破壊検査研究会,007
マチカネ競馬会,008
大阪大学歌詞読みサークル,009
大阪大学コーヒー愛好会,010
大坂大学踊ってみたサークル,011
大阪大学を畑にする会-學畠会-,012
大阪大学道路研究会,013
大阪大学お嬢様部,015
大阪大学紅茶同好会,016
大阪大学色彩検定筋トレサークル,017
大阪大学お化け屋敷研究会,018
大阪大学好奇心学問サークル,019
阪大ガジェット研究会,020
大阪大学TCGサークル,021
大阪大学何かする同好会,022
ともだちの家,023
大阪大学モンブラン同好会,024
大阪大学ネタツイから卒論まで本にするサークル,025
大阪大学愛知同好会,026
阪大ミュージアム同好会,027
大阪大学お出かけスポット紹介サークル,028
大阪大学共通棟研究会,029
